      ,Contrast,Brightness,Saturation,Hue,Repeated Colors
Images/cats\cat_80,0.6214452545349604,0.3150804862745098,0.5262689882352941,0.15361101176470587,"[(6, 4, 7), (3, 3, 3), (5, 3, 4), (5, 3, 6), (6, 4, 5)]"
Images/cats\cat_81,0.37751486531122785,0.6535271529411764,0.4430131137254902,0.07938247843137256,"[(251, 251, 249), (250, 250, 248), (248, 249, 244), (249, 250, 245), (252, 252, 250)]"
Images/cats\cat_82,0.6362986085384341,0.3413283607843137,0.18458410980392156,0.22258296470588232,"[(221, 216, 210), (22, 26, 27), (21, 25, 26), (23, 27, 28), (47, 51, 54)]"
Images/cats\cat_83,0.563938104552323,0.45009930980392154,0.2843684392156863,0.1644219764705882,"[(15, 16, 18), (16, 17, 19), (12, 13, 15), (13, 14, 16), (17, 18, 20)]"
Images/cats\cat_84,0.384539183325129,0.5382734588235294,0.3074229647058823,0.09347237647058823,"[(81, 70, 74), (82, 71, 75), (83, 72, 76), (85, 74, 78), (79, 68, 72)]"
Images/cats\cat_85,0.6262571190981774,0.3223946039215686,0.46484622745098036,0.13083044705882355,"[(1, 1, 1), (105, 74, 45), (106, 75, 46), (139, 114, 84), (103, 72, 43)]"
Images/cats\cat_86,0.17222762768143965,0.8026847529411765,0.13015358431372548,0.2047516549019608,"[(219, 217, 218), (220, 218, 219), (219, 215, 214), (216, 215, 213), (218, 216, 217)]"
Images/cats\cat_87,0.45064868224625576,0.49083643921568626,0.23750589803921568,0.20173447843137252,"[(201, 196, 158), (31, 34, 39), (31, 35, 38), (202, 197, 159), (49, 45, 44)]"
Images/cats\cat_88,0.10322889775123323,0.8212461960784313,0.08694498823529412,0.4159260549019608,"[(225, 218, 225), (238, 227, 233), (223, 216, 223), (226, 219, 226), (237, 226, 232)]"
Images/cats\cat_89,0.0518298200624974,0.9163532392156862,0.059965866666666666,0.3385434980392157,"[(242, 240, 245), (239, 237, 242), (241, 239, 244), (240, 238, 243), (243, 241, 246)]"
Images/cats\cat_90,0.7680646617732507,0.24848889411764705,0.37462268235294116,0.27268312156862745,"[(10, 20, 11), (11, 21, 12), (11, 16, 10), (11, 18, 11), (10, 20, 12)]"
Images/cats\cat_91,0.05881536783188788,0.9243522039215686,0.05633512156862745,0.3921764392156863,"[(245, 243, 246), (248, 244, 245), (244, 242, 245), (244, 244, 246), (243, 238, 242)]"
Images/cats\cat_92,0.051076490997582574,0.9201752784313725,0.041217333333333335,0.5413444862745098,"[(234, 231, 238), (237, 232, 239), (238, 233, 240), (243, 244, 249), (236, 231, 238)]"
Images/cats\cat_93,0.18559970486728028,0.7895077960784314,0.08372056470588235,0.4382345725490196,"[(229, 228, 234), (228, 227, 233), (227, 226, 232), (213, 213, 223), (229, 230, 235)]"
Images/cats\cat_94,0.08463752838866911,0.8559716392156862,0.02113429019607843,0.09747976470588234,"[(225, 225, 225), (226, 226, 226), (226, 225, 223), (224, 224, 224), (227, 227, 227)]"
Images/cats\cat_95,0.12091996465620013,0.7199762196078431,0.14478490980392159,0.49598603921568624,"[(199, 200, 231), (198, 199, 230), (202, 201, 232), (198, 197, 228), (196, 195, 226)]"
Images/cats\cat_96,0.4432673257972965,0.460173694117647,0.2086449254901961,0.3003465568627451,"[(159, 170, 200), (160, 171, 201), (177, 184, 210), (178, 185, 211), (162, 173, 203)]"
Images/cats\cat_97,0.553948343119386,0.12607821176470588,0.2432874039215686,0.31752373333333334,"[(17, 21, 22), (21, 21, 21), (20, 21, 23), (18, 22, 23), (19, 21, 20)]"
Images/cats\cat_98,0.517251267086363,0.5505459921568627,0.41361753725490197,0.0950534588235294,"[(254, 255, 255), (255, 255, 255), (252, 255, 255), (251, 255, 255), (253, 255, 254)]"
Images/cats\cat_99,0.2671638557853312,0.8244119215686274,0.05648873725490196,0.19996340392156864,"[(254, 255, 255), (253, 254, 255), (252, 253, 255), (237, 242, 245), (237, 237, 237)]"
Images/cats\cat_100,0.23707494865386494,0.8127984784313725,0.06055314509803921,0.17293363137254902,"[(253, 254, 255), (252, 253, 255), (250, 251, 253), (240, 241, 243), (241, 242, 244)]"
Images/cats\cat_101,0.6087210202313288,0.33357789803921567,0.14705505882352943,0.35675916862745094,"[(14, 18, 21), (16, 20, 21), (15, 19, 20), (15, 19, 22), (19, 23, 26)]"
Images/cats\cat_102,1.1502413260670183,0.15006732549019608,0.0,0.0,"[(0, 0, 0), (1, 1, 1), (4, 4, 4), (5, 5, 5), (6, 6, 6)]"
Images/cats\cat_103,0.4642990789754127,0.6106595921568627,0.18218348235294116,0.12984741960784313,"[(249, 249, 249), (248, 248, 248), (242, 241, 237), (243, 242, 238), (243, 241, 242)]"
Images/cats\cat_104,0.6892637704765453,0.3305970196078431,0.30711681568627447,0.15962886274509802,"[(10, 18, 20), (9, 17, 19), (29, 23, 23), (13, 18, 21), (17, 21, 22)]"
Images/cats\cat_105,0.8779629058660591,0.23684180392156862,0.34111355294117646,0.21070007843137253,"[(26, 14, 16), (25, 13, 15), (28, 14, 14), (27, 15, 17), (28, 16, 18)]"
Images/cats\cat_106,0.5322497024834153,0.4623562352941176,0.31470749803921566,0.49124436078431366,"[(55, 36, 38), (31, 27, 28), (215, 155, 163), (222, 162, 170), (223, 163, 171)]"
Images/cats\cat_107,0.6799462087395958,0.3051174901960784,0.34939275294117644,0.13701587450980393,"[(10, 18, 20), (11, 19, 21), (12, 20, 22), (9, 17, 19), (16, 21, 24)]"
Images/cats\cat_108,0.5536360074039782,0.1784557019607843,0.1290193882352941,0.2760705098039215,"[(32, 30, 31), (33, 31, 32), (34, 32, 33), (35, 33, 34), (31, 31, 29)]"
Images/cats\cat_109,0.6141139013002429,0.43001289411764704,0.6827713098039215,0.0570336,"[(15, 5, 4), (12, 7, 4), (16, 6, 5), (20, 10, 8), (24, 13, 9)]"
Images/cats\cat_110,0.615600702101601,0.33680462745098033,0.3618025568627451,0.29328793725490193,"[(5, 14, 13), (3, 12, 11), (6, 12, 12), (5, 11, 11), (4, 13, 12)]"
Images/cats\cat_111,0.11055371821755931,0.8647903215686273,0.06484487843137254,0.2767956235294117,"[(245, 246, 248), (246, 247, 249), (244, 245, 247), (242, 243, 247), (243, 244, 246)]"
Images/cats\cat_112,0.3636252517801206,0.6982994509803921,0.2343779294117647,0.24720556862745097,"[(223, 222, 228), (224, 223, 229), (222, 221, 227), (221, 220, 226), (229, 228, 234)]"
Images/cats\cat_113,0.8500096365216012,0.19211565490196078,0.36733805490196075,0.24463156078431372,"[(3, 18, 23), (6, 21, 26), (5, 20, 25), (4, 19, 24), (7, 22, 27)]"
Images/cats\cat_114,0.8411100947826079,0.21647535686274508,0.37764403137254904,0.20391126274509802,"[(3, 18, 23), (4, 19, 24), (5, 20, 25), (6, 21, 26), (3, 21, 25)]"
Images/cats\cat_115,0.5212379413563762,0.5106511843137255,0.2944019764705882,0.1526227137254902,"[(229, 238, 253), (230, 239, 254), (227, 236, 253), (226, 235, 252), (228, 237, 254)]"
Images/cats\cat_116,0.23788637114218597,0.4891306509803921,0.1333969568627451,0.22917214117647058,"[(126, 129, 122), (134, 137, 130), (133, 136, 129), (127, 130, 123), (123, 126, 119)]"
Images/cats\cat_117,0.5480733168808938,0.5664910901960785,0.06021082352941176,0.24951617254901962,"[(228, 228, 228), (227, 227, 227), (226, 226, 226), (229, 229, 229), (18, 16, 17)]"
Images/cats\cat_118,0.3969536778513974,0.5190639215686275,0.14185992156862742,0.24552519215686272,"[(121, 126, 130), (122, 127, 131), (120, 125, 129), (199, 201, 200), (71, 75, 78)]"
Images/cats\cat_119,0.39646838225952974,0.5513022117647058,0.1421184,0.12388883137254902,"[(217, 213, 201), (146, 147, 141), (153, 154, 148), (147, 148, 142), (144, 145, 139)]"
Images/cats\cat_120,0.38911611638892535,0.6929573803921568,0.24404423529411765,0.16637883921568627,"[(238, 237, 233), (239, 238, 234), (226, 218, 207), (249, 253, 255), (239, 240, 242)]"
Images/cats\cat_121,0.6009681465562831,0.31046953725490195,0.48124227450980395,0.07870580392156862,"[(62, 49, 30), (9, 6, 1), (61, 48, 29), (60, 47, 28), (8, 5, 0)]"
Images/cats\cat_122,0.506420958435783,0.4191583215686274,0.20553705098039213,0.25256123921568624,"[(10, 26, 39), (12, 29, 39), (13, 30, 40), (11, 27, 40), (13, 25, 37)]"
